query_id,query,retrieved_doc_id,doc_title,llm_judgment,llm_confidence,llm_reason,needs_review,opus_judgment,opus_reason,human_judgment,human_override_reason,final_label
Q2,다이어트 샐러드,236,닭가슴살카나페,0,,"형태가 '샐러드'가 아니며, 조리방식이 '굽기'로 샐러드 형태와 일치하지 않기 때문에 불충족.",false,,,0,,0
Q2,다이어트 샐러드,895,아보카도 두부 샐러드,0,,형태가 '샐러드'가 아닌 '반찬'으로 명시되어 있어 형태 조건을 충족하지 않는다.,false,,,1,샐러드 명칭 기준 충족,1
Q2,다이어트 샐러드,986,나스와 샐러드,1,,"형태가 '샐러드'로 명시되어 있고, 칼로리가 350 kcal 이하이며, 드레싱의 주재료가 마요네즈나 크림이 아니므로 모든 조건을 충족했다.",false,,,1,,1
Q2,다이어트 샐러드,210,두릅 샐러드,0,,"형태가 '샐러드'로 명시되어 있으나, 조리방식이 '굽기'로 제공되어 샐러드 형태의 요리가 아님.",false,,,1,샐러드 명칭 기준 충족,1
Q2,다이어트 샐러드,346,토마토제철나물 샐러드,0,,"형태가 '샐러드'로 명시되어 있으나, 카테고리가 '반찬'으로 되어 있어 형태와 일치하지 않으며, 드레싱의 주재료가 마요네즈 또는 크림이 아닌 경우로 relevant 유지 조건을 충족하지 않음.",false,,,1,샐러드 명칭 기준 충족,1
Q2,다이어트 샐러드,386,다이어트국수,0,,형태가 '샐러드'가 아닌 '국수'로 명시되어 있어 불충족.,false,,,0,,0
Q5,고단백 요리,572,옥음밥,0,,"단백질 함량이 6g으로 정량 조건을 충족하지 않으며, 주재료가 고단백 식재료에 해당하지 않아 정성 조건도 충족하지 않는다.",false,,,0,,0
Q5,고단백 요리,628,삼색샐러드와두부구이,0,,"단백질 함량이 1인분 17g으로 정량 조건을 충족하지 않으며, 주재료가 두부이지만 protein 값이 NULL이 아니므로 정량 조건을 우선적으로 판단하여 not relevant로 판정.",false,,,1,"레시피명에 두부구이 명시, 정성 조건 충족",1
Q5,고단백 요리,563,미니함박스테이크,1,,"단백질이 26g으로 정량 조건을 충족하며, 주재료로 소고기와 돼지고기가 포함되어 고단백 식재료로도 인정됩니다.",false,,,1,,1
Q5,고단백 요리,616,다마고도후,0,,"단백질이 9g으로 정량 조건을 충족하지 않으며, 주재료가 고단백 식재료인 계란이 포함되지만 protein 값이 NULL이 아니므로 정량 조건이 우선 적용되어 불충족으로 판정됨.",false,,,1,다마고(계란)+도후(두부) 고단백 주재료,1
Q5,고단백 요리,587,두부 카프리제,0,,"단백질 함량이 11g으로 정량 조건을 충족하지 않으며, 주재료가 고단백 식재료인 두부 외에 육류가 포함되어 있으나 두부가 주재료로 간주되지 않기 때문에 정성 조건도 충족하지 않는다.",false,,,1,"두부 주재료, 정성 조건 충족",1
Q5,고단백 요리,3006,저염 겉절이,0,,"단백질이 2g으로 정량 조건을 충족하지 않으며, 주재료가 고단백 식재료가 아니므로 불명확한 조건이 없습니다.",false,,,0,,0
Q5,고단백 요리,299,생선베이컨말이,0,,"단백질이 19g으로 정량 조건을 충족하지 않으며, 주재료가 고단백 식재료인 생선이나 육류가 포함되지 않아 정성 조건도 충족하지 않는다.",false,,,1,"생선 주재료, LLM reason 오류",1
Q5,고단백 요리,575,음메꼬꼬돌돌,1,,"단백질이 1인분 42g으로 정량 조건을 충족하며, 주재료로 소고기와 닭고기가 포함되어 있어 정성 조건도 충족한다.",false,,,1,,1
Q5,고단백 요리,3084,두부튀김&무소스,0,,"단백질 함량이 9g으로 정량 조건을 충족하지 않으며, 주재료가 두부이지만 protein 값이 NULL이 아니므로 정량 조건을 우선적으로 판단하여 not relevant로 판정.",false,,,1,"두부 주재료, 정성 조건 충족",1
Q5,고단백 요리,798,쇠고기와 검은콩 요리,1,,"단백질이 1인분 24g으로 정량 조건을 충족하며, 주재료인 쇠고기가 고단백 식재료로 인정된다.",false,,,1,,1
